AGE_GROUP,TOTALPOSITIVE,DATE,CASE_PERCENT,DEATHS,DEATHS_PERCENT,CA_PERCENT
0-17,120,4/2/2020,,,,
18-49,5302,4/2/2020,,,,
50-64,2879,4/2/2020,,,,
0-17,137,4/3/2020,,,,
18-49,5917,4/3/2020,,,,
50-64,3253,4/3/2020,,,,
0-17,160,4/4/2020,,,,
18-49,6610,4/4/2020,,,,
50-64,3653,4/4/2020,,,,
0-17,173,4/5/2020,,,,
18-49,7099,4/5/2020,,,,
50-64,3884,4/5/2020,,,,
0-17,197,4/6/2020,,,,
18-49,7753,4/6/2020,,,,
50-64,4344,4/6/2020,,,,
0-17,222,4/7/2020,,,,
18-49,8289,4/7/2020,,,,
50-64,4639,4/7/2020,,,,
0-17,252,4/8/2020,,,,
18-49,8939,4/8/2020,,,,
50-64,5003,4/8/2020,,,,
0-17,269,4/9/2020,,,,
18-49,9469,4/9/2020,,,,
50-64,5347,4/9/2020,,,,
0-17,303,4/10/2020,,,,
18-49,10069,4/10/2020,,,,
50-64,5633,4/10/2020,,,,
0-17,330,4/11/2020,,,,
18-49,10599,4/11/2020,,,,
50-64,5941,4/11/2020,,,,
0-17,337,4/12/2020,,,,
18-49,10838,4/12/2020,,,,
50-64,6079,4/12/2020,,,,
0-17,362,4/13/2020,,,,
18-49,11246,4/13/2020,,,,
50-64,6348,4/13/2020,,,,
0-17,385,4/14/2020,,,,
18-49,11721,4/14/2020,,,,
50-64,6644,4/14/2020,,,,
0-17,432,4/15/2020,,,,
18-49,12479,4/15/2020,,,,
50-64,7141,4/15/2020,,,,
0-17,472,4/16/2020,,,,
18-49,13144,4/16/2020,,,,
50-64,7488,4/16/2020,,,,
0-17,507,4/17/2020,,,,
18-49,13798,4/17/2020,,,,
50-64,7862,4/17/2020,,,,
0-17,550,4/18/2020,,,,
18-49,14408,4/18/2020,,,,
50-64,8232,4/18/2020,,,,
0-17,573,4/19/2020,,,,
18-49,14690,4/19/2020,,,,
50-64,8385,4/19/2020,,,,
0-17,683,4/20/2020,,,,
18-49,15901,4/20/2020,,,,
50-64,8961,4/20/2020,,,,
0-17,768,4/21/2020,,,,
18-49,17009,4/21/2020,,,,
50-64,9517,4/21/2020,,,,
0-17,855,4/22/2020,2.29,0,0,22.49
18-49,18004,4/22/2020,48.18,99,7.09,43.52
50-64,10025,4/22/2020,26.83,223,15.97,18.42
0-17,936,4/23/2020,2.38,0,0,22.49
18-49,18954,4/23/2020,48.29,107,7.19,43.52
50-64,10451,4/23/2020,26.62,234,15.71,18.42
0-17,1011,4/24/2020,2.46,0,0,22.49
18-49,19897,4/24/2020,48.37,112,7.12,43.52
50-64,10885,4/24/2020,26.46,246,15.64,18.42
0-17,1039,4/25/2020,2.46,0,0,22.49
18-49,20379,4/25/2020,48.33,117,7.1,43.52
50-64,11139,4/25/2020,26.42,254,15.42,18.42
0-17,1085,4/26/2020,2.5,0,0,22.49
18-49,21028,4/26/2020,48.38,119,7.1,43.52
50-64,11442,4/26/2020,26.33,258,15.39,18.42
0-17,1190,4/27/2020,2.64,0,0,22.49
18-49,21888,4/27/2020,48.61,120,6.97,43.52
50-64,11781,4/27/2020,26.16,265,15.4,18.42
0-17,1263,4/28/2020,2.72,0,0,22.49
18-49,22596,4/28/2020,48.59,126,6.97,43.52
50-64,12153,4/28/2020,26.14,284,15.7,18.42
65,10413,4/28/2020,22.39,1399,77.34,15.57
0-17,1398,4/29/2020,2.86,0,0,22.49
18-49,23836,4/29/2020,48.73,131,6.93,43.52
50-64,12705,4/29/2020,25.97,292,15.45,18.42
65,10906,4/29/2020,22.29,1467,77.62,15.57
0-17,1449,4/30/2020,2.9,0,0,22.49
18-49,24613,4/30/2020,48.8,137,6.9,43.52
50-64,13044,4/30/2020,25.9,308,15.5,18.42
65,11256,4/30/2020,22.3,1543,77.6,15.57
0-17,1566,5/1/2020,3,0,0,22.49
18-49,25548,5/1/2020,48.95,139,6.67,43.52
50-64,13454,5/1/2020,25.78,322,15.46,18.42
65,11547,5/1/2020,22.12,1622,77.87,15.57
0-17,1640,5/2/2020,3.1,0,0,22.5
18-49,26256,5/2/2020,49,139,6.5,43.5
50-64,13773,5/2/2020,25.7,331,15.5,18.4
65,11860,5/2/2020,22.1,1668,78,15.6
0-17,1715,5/3/2020,3.12,0,0,22.5
18-49,26956,5/3/2020,49.07,139,6.38,43.5
50-64,14078,5/3/2020,25.63,335,15.38,18.4
65,12098,5/3/2020,22.02,1704,78.24,15.6
0-17,1773,5/4/2020,3.2,0,0,22.5
18-49,27556,5/4/2020,49,141,6.3,43.5
50-64,14366,5/4/2020,25.6,342,15.4,18.4
65,12425,5/4/2020,22.1,1738,78.3,15.6
0-17,1937,5/5/2020,3.3,0,0,22.5
18-49,28968,5/5/2020,49.3,145,6.2,43.5
50-64,14974,5/5/2020,25.5,353,15.2,18.4
65,12842,5/5/2020,21.8,1826,78.5,15.6
0-17,2055,5/6/2020,3.4,0,0,22.5
18-49,29902,5/6/2020,49.3,150,6.2,43.5
50-64,15375,5/6/2020,25.4,370,15.3,18.4
65,13194,5/6/2020,21.8,1891,78.4,15.6
0-17,2181,5/7/2020,3.5,0,0,22.5
18-49,30860,5/7/2020,49.4,153,6.1,43.5
50-64,15793,5/7/2020,25.3,386,15.5,18.4
65,13580,5/7/2020,21.7,1953,78.3,15.6
0-17,2260,5/8/2020,3.5,0,0,22.5
18-49,32004,5/8/2020,49.6,156,6.1,43.5
50-64,16250,5/8/2020,25.2,395,15.3,18.4
65,13948,5/8/2020,21.6,2024,78.6,15.6
0-17,2373,5/9/2020,3.6,0,0,22.5
18-49,33190,5/9/2020,49.8,162,6.1,43.5
50-64,16729,5/9/2020,25.1,405,15.2,18.4
65,14290,5/9/2020,21.4,2089,78.6,15.6
0-17,2444,5/10/2020,3.6,0,0,22.5
18-49,33805,5/10/2020,49.8,163,6.1,43.5
50-64,17002,5/10/2020,25,412,15.3,18.4
65,14597,5/10/2020,21.5,2115,78.6,15.6
0-17,2549,5/11/2020,3.7,0,0,22.5
18-49,34573,5/11/2020,49.8,167,6.1,43.5
50-64,17322,5/11/2020,25,418,15.2,18.4
65,14845,5/11/2020,21.4,2166,78.7,15.6
0-17,2672,5/12/2020,3.8,0,0,22.5
18-49,35567,5/12/2020,50,169,5.9,43.5
50-64,17701,5/12/2020,24.9,440,15.5,18.4
65,15098,5/12/2020,21.2,2236,78.6,15.6
0-17,2799,5/13/2020,3.8,0,0,22.5
18-49,36602,5/13/2020,50,176,6,43.5
50-64,18154,5/13/2020,24.8,445,15.2,18.4
65,15498,5/13/2020,21.2,2304,78.7,15.6
0-17,2951,5/14/2020,3.9,0,0,22.5
18-49,37637,5/14/2020,50.2,183,6,43.5
50-64,18510,5/14/2020,24.7,459,15.2,18.4
65,15725,5/14/2020,21,2386,78.8,15.6
0-17,3064,5/15/2020,4,0,0,22.5
18-49,38611,5/15/2020,50.3,185,5.9,43.5
