county,state_id,state_name,Lat,Long,population,TOTALCOUNTCONFIRMED,TOTALCOUNTDEATHS,NEWCOUNTCONFIRMED,NEWCOUNTDEATHS,Date
Santa Clara,CA,California,37.2318,121.6951,1927470,151,6,151,6,2020-03-18
Santa Clara,CA,California,37.2318,121.6951,1927470,183,8,32,2,2020-03-19
Santa Clara,CA,California,37.2318,121.6951,1927470,246,8,63,0,2020-03-20
Santa Clara,CA,California,37.2318,121.6951,1927470,269,10,23,2,2020-03-21
Santa Clara,CA,California,37.2318,121.6951,1927470,284,13,15,3,2020-03-22
Santa Clara,CA,California,37.2318,121.6951,1927470,336,13,52,0,2020-03-23
Santa Clara,CA,California,37.2318,121.6951,1927470,389,17,53,4,2020-03-24
Santa Clara,CA,California,37.2318,121.6951,1927470,452,20,63,3,2020-03-25
Santa Clara,CA,California,37.2318,121.6951,1927470,487,20,35,0,2020-03-26
Santa Clara,CA,California,37.2318,121.6951,1927470,557,25,70,5,2020-03-27
Santa Clara,CA,California,37.2318,121.6951,1927470,587,27,30,2,2020-03-28
Santa Clara,CA,California,37.2318,121.6951,1927470,591,30,4,3,2020-03-29
Santa Clara,CA,California,37.2318,121.6951,1927470,745,31,154,1,2020-03-30
Santa Clara,CA,California,37.2318,121.6951,1927470,777,30,32,-1,2020-03-31
Santa Clara,CA,California,37.2318,121.6951,1927470,805,33,28,3,2020-04-01
Santa Clara,CA,California,37.2318,121.6951,1927470,908,38,103,5,2020-04-02
Santa Clara,CA,California,37.2318,121.6951,1927470,983,39,75,1,2020-04-03
Santa Clara,CA,California,37.2318,121.6951,1927470,1045,39,62,0,2020-04-04
Santa Clara,CA,California,37.2318,121.6951,1927470,1052,42,7,3,2020-04-05
Santa Clara,CA,California,37.2318,121.6951,1927470,1128,43,76,1,2020-04-06
Santa Clara,CA,California,37.2318,121.6951,1927470,1193,46,65,3,2020-04-07
Santa Clara,CA,California,37.2318,121.6951,1927470,1257,47,64,1,2020-04-08
Santa Clara,CA,California,37.2318,121.6951,1927470,1301,49,44,2,2020-04-09
Santa Clara,CA,California,37.2318,121.6951,1927470,1351,52,50,3,2020-04-10
Santa Clara,CA,California,37.2318,121.6951,1927470,1441,52,90,0,2020-04-11
Santa Clara,CA,California,37.2318,121.6951,1927470,1461,53,20,1,2020-04-12
