RACE_ETHNICITY,CASES,CASE_PERCENTAGE,DEATHS,DEATH_PERCENTAGE,PERCENT_CA_POPULATION,DATE
Latino,5276,35.99,170,28.38,38.9,4/13/2020
Latino,5910,37.18,203,29.72,38.9,4/14/2020
Latino,6433,37.8,226,29.7,38.9,4/15/2020
Latino,7013,38.51,254,29.85,38.9,4/16/2020
Latino,7627,39.41,281,30.58,38.9,4/17/2020
Latino,8195,40.28,314,31.24,38.9,4/18/2020
Latino,8397,40.37,326,31.38,38.9,4/19/2020
Latino,9090,40.52,337,31.09,38.9,4/20/2020
Latino,9701,41.03,364,31.11,38.9,4/21/2020
Latino,10385,42.05,406,32.04,38.9,4/22/2020
Latino,10964,42.63,447,32.23,38.9,4/23/2020
Latino,11630,43.35,476,32.47,38.9,4/24/2020
Latino,12092,43.85,502,32.56,38.9,4/25/2020
Latino,12465,44.09,514,32.74,38.9,4/26/2020
Latino,12890,44.37,555,33.39,38.9,4/27/2020
Latino,13608,44.78820393,589,33.81171068,38.9,4/28/2020
Latino,14351,45.26843732,620,34.00987383,38.9,4/29/2020
Latino,15233,46,657,34.6,38.9,4/30/2020
Latino,16086,46.73717241,681,34.39393939,38.9,5/1/2020
Latino,17127,47.5,704,34.3,38.9,5/2/2020
Latino,17716,47.92771345,720,34.416826,38.9,5/3/2020
Latino,18087,48,740,34.6,38.9,5/4/2020
Latino,19333,48.9,784,35.2,38.9,5/5/2020
Latino,20030,49.4,819,35.4,38.9,5/6/2020
Latino,20824,49.8,850,35.5,38.9,5/7/2020
Latino,21621,50.3,875,35.6,38.9,5/8/2020
Latino,22525,50.8,914,35.6,38.9,5/9/2020
Latino,22971,50.9,924,35.7,38.9,5/10/2020
Latino,23511,51.2,946,35.8,38.9,5/11/2020
Latino,24511,51.7,984,36.1,38.9,5/12/2020
Latino,25582,52,1022,36.6,38.9,5/13/2020
Latino,26880,52.6,1060,36.7,38.9,5/14/2020
White,4639,31.64,246,41.07,36.6,4/13/2020
White,4939,31.07,264,38.65,36.6,4/14/2020
White,5239,30.79,286,37.58,36.6,4/15/2020
White,5504,30.22,314,36.9,36.6,4/16/2020
White,5757,29.75,333,36.24,36.6,4/17/2020
White,5945,29.22,357,35.52,36.6,4/18/2020
White,6051,29.09,368,35.42,36.6,4/19/2020
White,6257,27.89,388,35.79,36.6,4/20/2020
White,6982,29.53,417,35.64,36.6,4/21/2020
White,7206,29.18,442,34.89,36.6,4/22/2020
White,7422,28.86,485,34.97,36.6,4/23/2020
White,7618,28.39,512,34.92,36.6,4/24/2020
White,7739,28.07,536,34.76,36.6,4/25/2020
White,7885,27.89,543,34.59,36.6,4/26/2020
White,8064,27.76,582,35.02,36.6,4/27/2020
White,8339,27.4462693,613,35.18943743,36.6,4/28/2020
White,8674,27.36104978,633,34.72298409,36.6,4/29/2020
White,8926,27,655,34.5,36.6,4/30/2020
White,9119,26.49485734,683,34.4949495,36.6,5/1/2020
White,9449,26.2,721,35.1,36.6,5/2/2020
White,9607,25.99015258,730,34.89483748,36.6,5/3/2020
White,9724,25.8,744,34.8,36.6,5/4/2020
White,9998,25.3,766,34.4,36.6,5/5/2020
