COUNTY,TOTALCOUNTCONFIRMED,TOTALCOUNTDEATHS,NEWCOUNTCONFIRMED,NEWCOUNTDEATHS,DATE,Long,Lat
Santa Clara,151,6,151,6,2020-03-18,121.9552,37.3541
Santa Clara,183,8,32,2,2020-03-19,121.9552,37.3541
Santa Clara,246,8,63,0,2020-03-20,121.9552,37.3541
Santa Clara,269,10,23,2,2020-03-21,121.9552,37.3541
Santa Clara,284,13,15,3,2020-03-22,121.9552,37.3541
Santa Clara,336,13,52,0,2020-03-23,121.9552,37.3541
Santa Clara,389,17,53,4,2020-03-24,121.9552,37.3541
Santa Clara,452,20,63,3,2020-03-25,121.9552,37.3541
Santa Clara,487,20,35,0,2020-03-26,121.9552,37.3541
Santa Clara,557,25,70,5,2020-03-27,121.9552,37.3541
Santa Clara,587,27,30,2,2020-03-28,121.9552,37.3541
Santa Clara,591,30,4,3,2020-03-29,121.9552,37.3541
Santa Clara,745,31,154,1,2020-03-30,121.9552,37.3541
Santa Clara,777,30,32,-1,2020-03-31,121.9552,37.3541
Santa Clara,805,33,28,3,2020-04-01,121.9552,37.3541
Santa Clara,908,38,103,5,2020-04-02,121.9552,37.3541
Santa Clara,983,39,75,1,2020-04-03,121.9552,37.3541
Santa Clara,1045,39,62,0,2020-04-04,121.9552,37.3541
Santa Clara,1052,42,7,3,2020-04-05,121.9552,37.3541
Santa Clara,1128,43,76,1,2020-04-06,121.9552,37.3541
Santa Clara,1193,46,65,3,2020-04-07,121.9552,37.3541
Santa Clara,1257,47,64,1,2020-04-08,121.9552,37.3541
Santa Clara,1301,49,44,2,2020-04-09,121.9552,37.3541
Santa Clara,1351,52,50,3,2020-04-10,121.9552,37.3541
Santa Clara,1441,52,90,0,2020-04-11,121.9552,37.3541
Santa Clara,1461,53,20,1,2020-04-12,121.9552,37.3541
Santa Clara,1542,60,81,7,2020-04-13,121.9552,37.3541
Santa Clara,1561,66,19,6,2020-04-14,121.9552,37.3541
Santa Clara,1692,66,131,0,2020-04-15,121.9552,37.3541
Santa Clara,1789,69,97,3,2020-04-16,121.9552,37.3541
Santa Clara,1834,73,45,4,2020-04-17,121.9552,37.3541
Santa Clara,1862,73,28,0,2020-04-18,121.9552,37.3541
Santa Clara,1878,79,16,6,2020-04-19,121.9552,37.3541
Santa Clara,1920,83,42,4,2020-04-20,121.9552,37.3541
Santa Clara,1943,88,23,5,2020-04-21,121.9552,37.3541
Santa Clara,1969,94,26,6,2020-04-22,121.9552,37.3541
Santa Clara,1996,95,27,1,2020-04-23,121.9552,37.3541
Santa Clara,2026,98,30,3,2020-04-24,121.9552,37.3541
Santa Clara,2045,99,19,1,2020-04-25,121.9552,37.3541
Santa Clara,2097,102,52,3,2020-04-26,121.9552,37.3541
Santa Clara,2104,105,7,3,2020-04-27,121.9552,37.3541
Santa Clara,2130,106,26,1,2020-04-28,121.9552,37.3541
Santa Clara,2147,108,17,2,2020-04-29,121.9552,37.3541
Santa Clara,2172,111,25,3,2020-04-30,121.9552,37.3541
Santa Clara,2176,113,4,2,2020-05-01,121.9552,37.3541
Santa Clara,2203,115,27,2,2020-05-02,121.9552,37.3541
Santa Clara,2235,116,32,1,2020-05-03,121.9552,37.3541
Santa Clara,2238,119,3,3,2020-05-04,121.9552,37.3541
