COUNTY,TODAYS_DATE,HOSPITALIZED_COVID_CONFIRMED_PATIENTS,HOSPITALIZED_SUSPECTED_COVID_PATIENTS,HOSPITALIZED_COVID_PATIENTS,ALL_HOSPITAL_BEDS,ICU_COVID_CONFIRMED_PATIENTS,ICU_SUSPECTED_COVID_PATIENTS,ICU_AVAILABLE_BEDS
Tehama,2020-03-29,0,0,,,0,0,2
San Francisco,2020-03-29,50,73,,,24,10,61
Los Angeles,2020-03-29,489,1132,,,191,182,345
Shasta,2020-03-29,0,0,,,0,0,
Trinity,2020-03-29,0,0,,,0,0,
San Benito,2020-03-29,1,1,,,1,0,1
Butte,2020-03-29,,,,,,,
Solano,2020-03-29,7,27,,,4,1,28
Marin,2020-03-29,7,13,,,2,6,11
Santa Clara,2020-03-29,141,72,,,65,15,70
Merced,2020-03-29,1,7,,,0,0,3
Placer,2020-03-29,18,14,,,4,1,10
Yuba,2020-03-29,2,12,,,2,4,2
Kern,2020-03-29,16,57,,,8,8,39
Lake,2020-03-29,0,1,,,0,1,2
Tuolumne,2020-03-29,1,5,,,0,0,0
Del Norte,2020-03-29,1,2,,,0,0,3
Mono,2020-03-29,0,1,,,0,0,2
Santa Cruz,2020-03-29,0,0,,,0,0,
Madera,2020-03-29,1,6,,,1,1,8
Modoc,2020-03-29,0,0,,,0,0,
San Diego,2020-03-29,121,211,,,77,39,205
Yolo,2020-03-29,2,3,,,1,1,0
Monterey,2020-03-29,2,16,,,1,2,10
Colusa,2020-03-29,,,,,,,
Napa,2020-03-29,0,26,,,,,5
Fresno,2020-03-29,8,116,,,3,14,22
San Mateo,2020-03-29,46,27,,,16,10,28
Kings,2020-03-29,2,5,,,1,0,2
Plumas,2020-03-29,0,1,,,0,1,
Amador,2020-03-29,1,0,,,0,0,2
Contra Costa,2020-03-29,23,62,,,8,15,62
Sacramento,2020-03-29,36,27,,,12,18,50
Humboldt,2020-03-29,1,10,,,0,0,18
Imperial,2020-03-29,5,100,,,1,2,2
Tulare,2020-03-29,6,13,,,5,3,7
Orange,2020-03-29,74,167,,,31,40,131
San Joaquin,2020-03-29,34,35,,,5,2,7
Alameda,2020-03-29,36,91,,,20,16,119
El Dorado,2020-03-29,0,6,,,0,3,3
Sutter,2020-03-29,0,0,,,0,0,
Santa Barbara,2020-03-29,15,21,,,9,3,47
Sonoma,2020-03-29,7,20,,,2,5,12
Siskiyou,2020-03-29,0,0,,,0,0,2
Calaveras,2020-03-29,,,,,,,
